llm	prompt_technique	test_id	weighted_score	response_time_ms	run_id	timestamp	difficulty	question	llm_call_success	strict_valid	strict_accuracy	format_valid	cube_correct	aggregate_correct	measure_correct	gamma_correct	sigma_correct	unknown_fields_count	missing_gamma_count	extra_gamma_count	missing_sigma_count	extra_sigma_count	wrong_sigma_value_count	prompt_chars	prompt_utf8_bytes	prompt_estimated_tokens	prompt_eval_count	eval_count	total_duration_ms	prompt_eval_duration_ms	eval_duration_ms	error_type	error_message
qwen3:32b	step_by_step_methodology	test4	100.00	29081	run_0064	2026-05-10 23:21:13	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7256	7256	1814	1606	54	29074	4237	24757		
qwen3:32b	step_by_step_methodology	test5	70.00	28186	run_0065	2026-05-10 23:21:42	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	0	1	7240	7240	1810	1607	52	28180	4285	23813		
qwen3:32b	step_by_step_methodology	test6	85.00	32524	run_0066	2026-05-10 23:22:10	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	7282	7282	1821	1608	61	32517	4493	27895		
qwen3:32b	step_by_step_methodology	test7	80.00	38320	run_0067	2026-05-10 23:22:43	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	2	7288	7288	1822	1617	71	38311	5553	32628		
qwen3:32b	step_by_step_methodology	test8	70.00	35149	run_0068	2026-05-10 23:23:21	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	0	2	7310	7310	1828	1619	64	35144	5715	29346		
qwen3:32b	step_by_step_methodology	test9	60.00	32353	run_0069	2026-05-10 23:23:56	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	false	false	false	0	0	1	1	0	0	7247	7247	1812	1607	61	32345	4424	27837		
qwen3:32b	step_by_step_methodology	test10	100.00	16665	run_0070	2026-05-10 23:24:28	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7232	7232	1808	1600	29	16659	3548	13035		
qwen3:32b	hybrid_self_check	test1	0.00	60021	run_0071	2026-05-10 23:24:45	simple	What are the total store sales by product category for the year 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	1	0	0	8412	8412	2103	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
qwen3:32b	hybrid_self_check	test2	0.00	60051	run_0072	2026-05-10 23:25:45	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	false	false	0.00	false	false	false	false	false	false	0	2	0	2	0	0	8433	8433	2109	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
qwen3:32b	hybrid_self_check	test3	0.00	60035	run_0073	2026-05-10 23:26:45	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	2	0	0	8463	8463	2116	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
qwen3:32b	hybrid_self_check	test4	100.00	36471	run_0074	2026-05-10 23:27:45	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8427	8427	2107	1815	53	36465	7311	24592		
qwen3:32b	hybrid_self_check	test5	40.00	30997	run_0075	2026-05-10 23:28:22	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	true	true	true	true	false	false	1	1	1	1	0	1	8411	8411	2103	1816	51	30991	7411	23502		
qwen3:32b	hybrid_self_check	test6	70.00	36534	run_0076	2026-05-10 23:28:53	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	false	0.00	true	true	false	true	true	false	0	0	0	0	0	1	8453	8453	2114	1817	62	36527	7422	29019		
qwen3:32b	hybrid_self_check	test7	80.00	42968	run_0077	2026-05-10 23:29:29	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	2	8459	8459	2115	1826	73	42961	8634	34189		
qwen3:32b	hybrid_self_check	test8	70.00	43905	run_0078	2026-05-10 23:30:12	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	0	2	8481	8481	2121	1828	76	43899	8551	35257		
qwen3:32b	hybrid_self_check	test9	70.00	37309	run_0079	2026-05-10 23:30:56	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	2	2	0	8418	8418	2105	1816	65	37299	7254	29906		
qwen3:32b	hybrid_self_check	test10	100.00	21525	run_0080	2026-05-10 23:31:33	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8403	8403	2101	1809	33	21516	6380	15049		
gpt-oss:20b	rules_template	test1	100.00	30111	run_0081	2026-05-10 23:31:55	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7231	7231	1808	1612	75	30104	21808	6670		
gpt-oss:20b	rules_template	test2	0.00	9260	run_0082	2026-05-10 23:32:25	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	false	0.00	false	false	false	false	false	false	0	2	0	2	0	0	7252	7252	1813	1617	96	9252	491	8569		
gpt-oss:20b	rules_template	test3	0.00	9382	run_0083	2026-05-10 23:32:34	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	false	0.00	false	false	false	false	false	false	0	1	0	2	0	0	7282	7282	1821	1623	96	9372	573	8601		
gpt-oss:20b	rules_template	test4	100.00	8366	run_0084	2026-05-10 23:32:44	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7246	7246	1812	1614	86	8357	454	7696		
gpt-oss:20b	rules_template	test5	25.00	9193	run_0085	2026-05-10 23:32:52	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	false	true	true	false	false	false	0	1	0	2	0	0	7230	7230	1808	1613	96	9183	434	8558		
gpt-oss:20b	rules_template	test6	0.00	9303	run_0086	2026-05-10 23:33:01	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	false	0.00	false	false	false	false	false	false	0	2	0	2	0	0	7272	7272	1818	1616	96	9295	488	8628		
gpt-oss:20b	rules_template	test7	40.00	9327	run_0087	2026-05-10 23:33:11	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	false	0.00	false	true	true	true	false	false	0	1	0	3	0	0	7278	7278	1820	1623	96	9320	573	8577		
gpt-oss:20b	rules_template	test8	0.00	9452	run_0088	2026-05-10 23:33:20	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	false	0.00	false	false	false	false	false	false	0	2	0	3	0	0	7300	7300	1825	1625	96	9441	586	8677		
gpt-oss:20b	rules_template	test9	25.00	9265	run_0089	2026-05-10 23:33:29	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	false	true	true	false	false	false	0	2	0	2	0	0	7237	7237	1810	1613	96	9251	446	8620		
gpt-oss:20b	rules_template	test10	100.00	6162	run_0090	2026-05-10 23:33:39	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7222	7222	1806	1608	63	6155	363	5638		
gpt-oss:20b	rules_generic_examples	test1	70.00	29553	run_0091	2026-05-10 23:33:45	simple	What are the total store sales by product category for the year 1997?	true	false	0.00	true	true	true	true	true	false	1	0	0	1	1	0	7049	7049	1763	1611	96	29545	20785	8588		
gpt-oss:20b	rules_generic_examples	test2	0.00	9649	run_0092	2026-05-10 23:34:14	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	false	0.00	false	false	false	false	false	false	0	2	0	2	0	0	7070	7070	1768	1616	96	9640	832	8631		
gpt-oss:20b	rules_generic_examples	test3	0.00	9654	run_0093	2026-05-10 23:34:24	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	false	0.00	false	false	false	false	false	false	0	1	0	2	0	0	7100	7100	1775	1622	96	9647	930	8551		
gpt-oss:20b	rules_generic_examples	test4	25.00	9497	run_0094	2026-05-10 23:34:34	medium	What is the total store cost by product family and store city for stores in the USA?	true	false	0.00	false	true	true	false	false	false	0	2	0	1	0	0	7064	7064	1766	1613	96	9486	804	8509		
gpt-oss:20b	rules_generic_examples	test5	0.00	9564	run_0095	2026-05-10 23:34:43	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	false	false	false	false	false	false	0	1	0	2	0	0	7048	7048	1762	1612	96	9557	754	8639		
gpt-oss:20b	rules_generic_examples	test6	10.00	9534	run_0096	2026-05-10 23:34:53	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	false	0.00	false	true	false	false	false	false	0	2	0	2	0	0	7090	7090	1773	1615	96	9525	809	8550		
gpt-oss:20b	rules_generic_examples	test7	0.00	9594	run_0097	2026-05-10 23:35:02	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	false	0.00	false	false	false	false	false	false	0	1	0	3	0	0	7096	7096	1774	1622	96	9587	917	8495		
gpt-oss:20b	rules_generic_examples	test8	0.00	9652	run_0098	2026-05-10 23:35:12	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	false	0.00	false	false	false	false	false	false	0	2	0	3	0	0	7118	7118	1780	1624	96	9644	915	8558		
gpt-oss:20b	rules_generic_examples	test9	0.00	9528	run_0099	2026-05-10 23:35:21	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	false	false	false	false	false	false	0	2	0	2	0	0	7055	7055	1764	1612	96	9521	771	8568		
gpt-oss:20b	rules_generic_examples	test10	100.00	7772	run_0100	2026-05-10 23:35:31	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7040	7040	1760	1607	77	7760	713	6867		
gpt-oss:20b	step_by_step_methodology	test1	100.00	29850	run_0101	2026-05-10 23:35:39	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7241	7241	1811	1623	96	29842	21037	8635		
