llm	prompt_technique	test_id	weighted_score	response_time_ms	run_id	timestamp	difficulty	question	llm_call_success	strict_valid	strict_accuracy	format_valid	cube_correct	aggregate_correct	measure_correct	gamma_correct	sigma_correct	unknown_fields_count	missing_gamma_count	extra_gamma_count	missing_sigma_count	extra_sigma_count	wrong_sigma_value_count	prompt_chars	prompt_utf8_bytes	prompt_estimated_tokens	prompt_eval_count	eval_count	total_duration_ms	prompt_eval_duration_ms	eval_duration_ms	error_type	error_message
qwen3-coder:30b	rules_generic_examples	test7	80.00	6784	run_0017	2026-05-11 03:11:24	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	false	0.00	true	true	true	true	true	false	0	0	0	2	0	1	7096	7096	1774	1580	77	6778	1124	5567		
qwen3-coder:30b	rules_generic_examples	test8	100.00	7134	run_0018	2026-05-11 03:11:31	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	2	7118	7118	1780	1582	82	7128	1126	5910		
qwen3-coder:30b	rules_generic_examples	test9	85.00	5510	run_0019	2026-05-11 03:11:38	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	0	0	7055	7055	1764	1570	62	5504	957	4442		
qwen3-coder:30b	rules_generic_examples	test10	100.00	3264	run_0020	2026-05-11 03:11:43	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7040	7040	1760	1563	33	3255	825	2337		
qwen3-coder:30b	step_by_step_methodology	test1	100.00	22266	run_0021	2026-05-11 03:11:47	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7241	7241	1811	1598	51	22261	18491	3681		
qwen3-coder:30b	step_by_step_methodology	test2	100.00	5489	run_0022	2026-05-11 03:12:09	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7262	7262	1816	1603	66	5484	634	4758		
qwen3-coder:30b	step_by_step_methodology	test3	100.00	5373	run_0023	2026-05-11 03:12:14	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	7292	7292	1823	1609	63	5367	734	4528		
qwen3-coder:30b	step_by_step_methodology	test4	100.00	4333	run_0024	2026-05-11 03:12:20	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7256	7256	1814	1598	51	4327	538	3694		
qwen3-coder:30b	step_by_step_methodology	test5	100.00	5197	run_0025	2026-05-11 03:12:24	medium	What are the total store sales of low-fat products by month in 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	7240	7240	1810	1599	62	5190	563	4511		
qwen3-coder:30b	step_by_step_methodology	test6	100.00	4771	run_0026	2026-05-11 03:12:29	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	7282	7282	1821	1600	57	4766	568	4112		
qwen3-coder:30b	step_by_step_methodology	test7	100.00	5323	run_0027	2026-05-11 03:12:34	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	2	7288	7288	1822	1609	62	5317	760	4474		
qwen3-coder:30b	step_by_step_methodology	test8	100.00	5914	run_0028	2026-05-11 03:12:39	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	2	7310	7310	1828	1611	70	5908	746	5074		
qwen3-coder:30b	step_by_step_methodology	test9	70.00	5450	run_0029	2026-05-11 03:12:45	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	2	2	0	7247	7247	1812	1599	66	5444	572	4777		
qwen3-coder:30b	step_by_step_methodology	test10	100.00	2600	run_0030	2026-05-11 03:12:51	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7232	7232	1808	1592	29	2594	473	2047		
qwen3-coder:30b	hybrid_self_check	test1	100.00	26249	run_0031	2026-05-11 03:12:53	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8412	8412	2103	1807	51	26242	22340	3798		
qwen3-coder:30b	hybrid_self_check	test2	100.00	6320	run_0032	2026-05-11 03:13:20	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8433	8433	2109	1812	68	6311	1117	5089		
qwen3-coder:30b	hybrid_self_check	test3	100.00	6025	run_0033	2026-05-11 03:13:26	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	8463	8463	2116	1818	63	6017	1231	4693		
qwen3-coder:30b	hybrid_self_check	test4	100.00	5075	run_0034	2026-05-11 03:13:32	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8427	8427	2107	1807	53	5069	1017	3962		
qwen3-coder:30b	hybrid_self_check	test5	100.00	5835	run_0035	2026-05-11 03:13:37	medium	What are the total store sales of low-fat products by month in 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	8411	8411	2103	1808	63	5821	1027	4704		
qwen3-coder:30b	hybrid_self_check	test6	100.00	5794	run_0036	2026-05-11 03:13:43	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	8453	8453	2114	1809	62	5788	1070	4624		
qwen3-coder:30b	hybrid_self_check	test7	100.00	6817	run_0037	2026-05-11 03:13:49	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	2	8459	8459	2115	1818	73	6810	1225	5483		
qwen3-coder:30b	hybrid_self_check	test8	100.00	7555	run_0038	2026-05-11 03:13:56	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	2	8481	8481	2121	1820	82	7549	1244	6186		
qwen3-coder:30b	hybrid_self_check	test9	85.00	5811	run_0039	2026-05-11 03:14:03	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	0	0	8418	8418	2105	1808	62	5805	1077	4647		
qwen3-coder:30b	hybrid_self_check	test10	100.00	3449	run_0040	2026-05-11 03:14:09	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8403	8403	2101	1801	33	3442	915	2429		
llama3.3:70b	rules_template	test1	0.00	60065	run_0041	2026-05-11 03:14:31	simple	What are the total store sales by product category for the year 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	1	0	0	7231	7231	1808	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	rules_template	test2	0.00	60063	run_0042	2026-05-11 03:15:31	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	false	false	0.00	false	false	false	false	false	false	0	2	0	2	0	0	7252	7252	1813	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	rules_template	test3	0.00	60027	run_0043	2026-05-11 03:16:31	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	2	0	0	7282	7282	1821	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	rules_template	test4	0.00	60027	run_0044	2026-05-11 03:17:31	medium	What is the total store cost by product family and store city for stores in the USA?	false	false	0.00	false	false	false	false	false	false	0	2	0	1	0	0	7246	7246	1812	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	rules_template	test5	0.00	60039	run_0045	2026-05-11 03:18:31	medium	What are the total store sales of low-fat products by month in 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	2	0	0	7230	7230	1808	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	rules_template	test6	100.00	94978	run_0046	2026-05-11 03:19:31	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	7272	7272	1818	1561	50	94974	6542	45180		
llama3.3:70b	rules_template	test7	100.00	62801	run_0047	2026-05-11 03:21:06	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	2	7278	7278	1820	1568	60	62796	8145	54534		
llama3.3:70b	rules_template	test8	100.00	62728	run_0048	2026-05-11 03:22:09	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	7300	7300	1825	1570	60	62718	8265	54341		
llama3.3:70b	rules_template	test9	70.00	50834	run_0049	2026-05-11 03:23:11	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	2	2	0	7237	7237	1810	1558	50	50829	5836	44885		
llama3.3:70b	rules_template	test10	100.00	30568	run_0050	2026-05-11 03:24:02	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7222	7222	1806	1553	29	30563	4761	25706		
llama3.3:70b	rules_generic_examples	test1	0.00	60063	run_0051	2026-05-11 03:24:33	simple	What are the total store sales by product category for the year 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	1	0	0	7049	7049	1763	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	rules_generic_examples	test2	0.00	60063	run_0052	2026-05-11 03:25:33	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	false	false	0.00	false	false	false	false	false	false	0	2	0	2	0	0	7070	7070	1768	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	rules_generic_examples	test3	0.00	60063	run_0053	2026-05-11 03:26:33	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	2	0	0	7100	7100	1775	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	rules_generic_examples	test4	0.00	60062	run_0054	2026-05-11 03:27:33	medium	What is the total store cost by product family and store city for stores in the USA?	false	false	0.00	false	false	false	false	false	false	0	2	0	1	0	0	7064	7064	1766	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	rules_generic_examples	test5	0.00	60062	run_0055	2026-05-11 03:28:33	medium	What are the total store sales of low-fat products by month in 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	2	0	0	7048	7048	1762	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	rules_generic_examples	test6	100.00	93987	run_0056	2026-05-11 03:29:33	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	7090	7090	1773	1562	64	93982	11973	58103		
llama3.3:70b	rules_generic_examples	test7	100.00	77101	run_0057	2026-05-11 03:31:07	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	2	7096	7096	1774	1569	70	77096	13252	63715		
llama3.3:70b	rules_generic_examples	test8	100.00	82829	run_0058	2026-05-11 03:32:24	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	7118	7118	1780	1571	76	82824	13596	69103		
llama3.3:70b	rules_generic_examples	test9	70.00	66915	run_0059	2026-05-11 03:33:47	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	2	2	0	7055	7055	1764	1559	61	66910	11283	55512		
llama3.3:70b	rules_generic_examples	test10	100.00	39948	run_0060	2026-05-11 03:34:54	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7040	7040	1760	1554	33	39943	10231	29615		
llama3.3:70b	step_by_step_methodology	test1	0.00	60062	run_0061	2026-05-11 03:35:34	simple	What are the total store sales by product category for the year 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	1	0	0	7241	7241	1811	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	step_by_step_methodology	test2	0.00	60063	run_0062	2026-05-11 03:36:34	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	false	false	0.00	false	false	false	false	false	false	0	2	0	2	0	0	7262	7262	1816	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	step_by_step_methodology	test3	0.00	60064	run_0063	2026-05-11 03:37:34	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	2	0	0	7292	7292	1823	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	step_by_step_methodology	test4	0.00	60064	run_0064	2026-05-11 03:38:34	medium	What is the total store cost by product family and store city for stores in the USA?	false	false	0.00	false	false	false	false	false	false	0	2	0	1	0	0	7256	7256	1814	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	step_by_step_methodology	test5	0.00	60053	run_0065	2026-05-11 03:39:34	medium	What are the total store sales of low-fat products by month in 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	2	0	0	7240	7240	1810	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	step_by_step_methodology	test6	100.00	85151	run_0066	2026-05-11 03:40:34	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	7282	7282	1821	1571	57	85145	6662	51359		
llama3.3:70b	step_by_step_methodology	test7	100.00	61732	run_0067	2026-05-11 03:41:59	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	2	7288	7288	1822	1578	59	61725	8168	53432		
llama3.3:70b	step_by_step_methodology	test8	100.00	69979	run_0068	2026-05-11 03:43:01	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	7310	7310	1828	1580	68	69973	8240	61607		
llama3.3:70b	step_by_step_methodology	test9	70.00	56902	run_0069	2026-05-11 03:44:11	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	2	2	0	7247	7247	1812	1568	56	56896	5885	50899		
llama3.3:70b	step_by_step_methodology	test10	100.00	30762	run_0070	2026-05-11 03:45:08	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7232	7232	1808	1563	29	30757	4702	25944		
llama3.3:70b	hybrid_self_check	test1	0.00	60068	run_0071	2026-05-11 03:45:39	simple	What are the total store sales by product category for the year 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	1	0	0	8412	8412	2103	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	hybrid_self_check	test2	0.00	60063	run_0072	2026-05-11 03:46:39	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	false	false	0.00	false	false	false	false	false	false	0	2	0	2	0	0	8433	8433	2109	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	hybrid_self_check	test3	0.00	60063	run_0073	2026-05-11 03:47:39	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	2	0	0	8463	8463	2116	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	hybrid_self_check	test4	0.00	60049	run_0074	2026-05-11 03:48:39	medium	What is the total store cost by product family and store city for stores in the USA?	false	false	0.00	false	false	false	false	false	false	0	2	0	1	0	0	8427	8427	2107	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	hybrid_self_check	test5	0.00	60064	run_0075	2026-05-11 03:49:39	medium	What are the total store sales of low-fat products by month in 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	2	0	0	8411	8411	2103	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	hybrid_self_check	test6	0.00	60062	run_0076	2026-05-11 03:50:39	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	false	false	0.00	false	false	false	false	false	false	0	2	0	2	0	0	8453	8453	2114	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
llama3.3:70b	hybrid_self_check	test7	100.00	89875	run_0077	2026-05-11 03:51:39	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	2	8459	8459	2115	1808	63	89869	13577	57916		
llama3.3:70b	hybrid_self_check	test8	100.00	83193	run_0078	2026-05-11 03:53:09	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8481	8481	2121	1810	75	83188	13773	69283		
llama3.3:70b	hybrid_self_check	test9	70.00	67680	run_0079	2026-05-11 03:54:32	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	2	2	0	8418	8418	2105	1798	61	67675	11366	56183		
llama3.3:70b	hybrid_self_check	test10	100.00	39816	run_0080	2026-05-11 03:55:40	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8403	8403	2101	1793	33	39810	10117	29587		
deepseek-coder-v2:latest	rules_template	test1	100.00	23870	run_0081	2026-05-11 03:56:24	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7231	7231	1808	1900	62	23861	16495	3703		
deepseek-coder-v2:latest	rules_template	test2	50.00	4380	run_0082	2026-05-11 03:56:47	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	false	0.00	true	true	false	true	false	false	1	1	2	1	0	0	7252	7252	1813	1905	63	4372	485	3791		
deepseek-coder-v2:latest	rules_template	test3	40.00	5615	run_0083	2026-05-11 03:56:52	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	false	0.00	true	true	true	true	false	false	3	1	1	2	3	0	7282	7282	1821	1911	81	5606	513	4985		
deepseek-coder-v2:latest	rules_template	test4	100.00	3767	run_0084	2026-05-11 03:56:57	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7246	7246	1812	1900	54	3758	415	3244		
deepseek-coder-v2:latest	rules_template	test5	50.00	6711	run_0085	2026-05-11 03:57:01	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	true	true	true	true	false	false	3	1	1	1	2	0	7230	7230	1808	1902	99	6702	435	6130		
deepseek-coder-v2:latest	rules_template	test6	75.00	4973	run_0086	2026-05-11 03:57:08	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	false	0.00	true	true	false	true	false	true	0	0	1	0	0	1	7272	7272	1818	1902	72	4964	430	4428		
deepseek-coder-v2:latest	rules_template	test7	100.00	5229	run_0087	2026-05-11 03:57:13	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	2	7278	7278	1820	1911	75	5221	524	4606		
deepseek-coder-v2:latest	rules_template	test8	77.50	7152	run_0088	2026-05-11 03:57:18	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	false	0.00	true	true	true	true	true	false	1	0	0	2	3	0	7300	7300	1825	1912	106	7143	513	6523		
deepseek-coder-v2:latest	rules_template	test9	70.00	5481	run_0089	2026-05-11 03:57:25	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	2	2	0	7237	7237	1810	1901	81	5473	426	4948		
deepseek-coder-v2:latest	rules_template	test10	100.00	2537	run_0090	2026-05-11 03:57:31	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7222	7222	1806	1894	35	2529	352	2078		
deepseek-coder-v2:latest	rules_generic_examples	test1	100.00	20800	run_0091	2026-05-11 03:57:33	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7049	7049	1763	1947	60	20792	16964	3739		
deepseek-coder-v2:latest	rules_generic_examples	test2	70.00	5192	run_0092	2026-05-11 03:57:54	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	false	0.00	true	true	false	true	true	false	0	0	0	1	0	0	7070	7070	1768	1952	70	5184	775	4315		
deepseek-coder-v2:latest	rules_generic_examples	test3	55.00	5942	run_0093	2026-05-11 03:57:59	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	false	0.00	true	true	true	true	false	false	1	1	1	1	0	1	7100	7100	1775	1958	79	5933	899	4909		
deepseek-coder-v2:latest	rules_generic_examples	test4	100.00	4841	run_0094	2026-05-11 03:58:05	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7064	7064	1766	1947	64	4833	723	4014		
deepseek-coder-v2:latest	rules_generic_examples	test5	55.00	5252	run_0095	2026-05-11 03:58:10	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	true	true	true	true	false	false	1	1	1	1	0	1	7048	7048	1762	1949	71	5243	769	4372		
deepseek-coder-v2:latest	rules_generic_examples	test6	70.00	5750	run_0096	2026-05-11 03:58:15	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	false	0.00	true	true	false	true	true	false	0	0	0	1	0	1	7090	7090	1773	1949	79	5742	783	4854		
deepseek-coder-v2:latest	rules_generic_examples	test7	70.00	6642	run_0097	2026-05-11 03:58:21	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	false	0.00	true	true	true	true	true	false	1	0	0	3	1	0	7096	7096	1774	1958	92	6633	830	5704		
