run_id	llm	prompt_combination	test_id	difficulty	category	strict_accuracy	overall_similarity	structural_accuracy	response_time_ms	similarity_available	gamma_similarity	sigma_similarity	measure_similarity	aggregate_similarity	cube_similarity	strict_valid	structural_valid	strict_weighted_score	structural_weighted_score	format_valid	cube_correct	aggregate_correct	measure_correct	gamma_correct	sigma_correct	structural_sigma_correct	unknown_fields_count	missing_gamma_count	extra_gamma_count	missing_sigma_count	extra_sigma_count	wrong_sigma_value_count	question	expected_cube	expected_aggregate	expected_measure	expected_gamma	expected_sigma	actual_answer	prompt_chars	prompt_utf8_bytes	prompt_estimated_tokens_chars	prompt_estimated_tokens_bytes	prompt_eval_count	eval_count	total_tokens	total_duration_ms	load_duration_ms	prompt_eval_duration_ms	eval_duration_ms	prompt_tokens_per_second	output_tokens_per_second	llm_call_success	error_type	error_message	timestamp
run_0011	gemma4_26b_no_thinking	baseline	complex_01	complex	structured_wording	0.00		0.00	11522	false						false	false	55.00	55.00	false	true	false	true	true	false	false	0	0	0	3	0	0	What are the total store sales by month and customer state during 1997 for customers in the USA who purchased products from the Milk subcategory?	sales_cube	Sum	store_sales	[date_dim.year_and_month, customer_dim.state_province]	[date_dim.the_year='1997', customer_dim.country='USA', product_dim.product_subcategory='Milk']	{\n  "cubeName": "sales_cube",\n  "queryName": "total store sales by month and customer state during 1997 for customers in the USA who purchased products from the Milk subcategory",\n  "aggregateFunction": "SUM",\n  "measure": "store_sales",\n  "gamma": [\n    "date_dim.year_and_month",\n    "customer_dim.state_province"\n  ],\n  "sigma": [\n    "date_dim.the_year = 1997",\n    "customer_dim	3749	3749	938	938	1137	128	1265	11515	1	5290	6216	214.93	20.59	true			2026-09-19 04:51:00
run_0012	gemma4_26b_no_thinking	baseline	complex_02	complex	structured_wording	0.00		0.00	11306	false						false	false	55.00	55.00	false	true	false	true	true	false	false	0	0	0	3	0	0	What are the total store sales by product subcategory and quarter during 1997 for Breakfast Foods sold by stores in the USA?	sales_cube	Sum	store_sales	[product_dim.product_subcategory, date_dim.year_quarter]	[date_dim.the_year='1997', product_dim.product_category='Breakfast Foods', store_dim.store_country='USA']	{\n  "cubeName": "sales_cube",\n  "queryName": "total store sales by product subcategory and quarter during 1997 for Breakfast Foods sold by stores in the USA",\n  "aggregateFunction": "SUM",\n  "measure": "store_sales",\n  "gamma": [\n    "product_dim.product_subcategory",\n    "date_dim.year_quarter"\n  ],\n  "sigma": [\n    "date_dim.the_year = 1997",\n    "product_dim.product_category =	3728	3728	932	932	1134	128	1262	11299	1	5112	6179	221.80	20.71	true			2026-09-19 04:51:12
run_0013	gemma4_26b_no_thinking	baseline	complex_03	complex	structured_wording	0.00		0.00	11629	false						false	false	55.00	55.00	false	true	false	true	true	false	false	0	0	0	3	0	0	What are the total store sales by month and customer city during Q3 1997 for customers in California when the promotion media type was Daily Paper?	sales_cube	Sum	store_sales	[date_dim.year_and_month, customer_dim.city]	[date_dim.year_quarter='1997-Q3', customer_dim.state_province='CA', promotion_dim.media_type='Daily Paper']	{\n  "cubeName": "sales_cube",\n  "queryName": "total store sales by month and customer city during Q3 1997 for customers in California when the promotion media type was Daily Paper",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [\n    "date_dim.year_and_month",\n    "customer_dim.city"\n  ],\n  "sigma": [\n    "date_dim.year_quarter = '1997-Q3'",\n    "customer	3751	3751	938	938	1138	128	1266	11618	1	5237	6375	217.30	20.08	true			2026-09-19 04:51:23
run_0014	gemma4_26b_no_thinking	baseline	complex_04	complex	natural_wording	0.00		0.00	12118	false						false	false	55.00	55.00	false	true	false	true	true	false	false	0	0	0	4	0	0	For Food purchases made by customers from Washington in the USA during 1997, how did sales revenue vary across quarters and brands?	sales_cube	Sum	store_sales	[date_dim.year_quarter, product_dim.brand_name]	[product_dim.product_family='Food', customer_dim.state_province='WA', customer_dim.country='USA', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "sales revenue variation across quarters and brands for Food purchases by Washington customers in USA during 1997",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [\n    "date_dim.year_quarter",\n    "product_dim.brand_name"\n  ],\n  "sigma": [\n    "product_dim.product_category = 'Food'",\n    "customer_dim.state_province = 'Washington'",\n    "	3735	3735	934	934	1134	128	1262	12109	1	5141	6961	220.58	18.39	true			2026-09-19 04:51:35
run_0015	gemma4_26b_no_thinking	baseline	complex_05	complex	natural_wording	0.00		0.00	11348	false						false	false	55.00	55.00	false	true	false	true	true	false	false	0	0	0	3	0	0	When Daily Paper promotions were used in California during Q3 1997, how did the average sales revenue differ across product categories and store types?	sales_cube	Avg	store_sales	[product_dim.product_category, store_dim.store_type]	[promotion_dim.media_type='Daily Paper', store_dim.store_state='CA', date_dim.year_quarter='1997-Q3']	{\n  "cubeName": "sales_cube",\n  "queryName": "average_sales_revenue_by_category_and_store_type",\n  "aggregateFunction": "avg",\n  "measure": "store_sales",\n  "gamma": [\n    "product_dim.product_category",\n    "store_dim.store_type"\n  ],\n  "sigma": [\n    "promotion_dim.promotion_name = 'Daily Paper'",\n    "store_dim.store_state = 'California'",\n    "date_dim.year	3755	3755	939	939	1137	128	1265	11338	1	5208	6123	218.31	20.90	true			2026-09-19 04:51:47
run_0016	gemma4_26b_no_thinking	instructions_for_query_generation	simple_01	simple	structured_wording	0.00	0.94	1.00	24837	true	1.00	0.80	1.00	1.00	1.00	false	true	70.00	100.00	true	true	true	true	true	false	true	0	0	0	0	0	1	What are the total store sales by product category for the year 1997?	sales_cube	Sum	store_sales	[product_dim.product_category]	[date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "total_store_sales_by_product_category_for_year_1997",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": [\n    "product_dim.product_category"\n  ],\n  "sigma": [\n    "date_dim.the_year"\n  ]\n}	7714	7714	1929	1929	1969	102	2071	24825	1	19198	5283	102.56	19.31	true			2026-09-19 04:51:58
run_0017	gemma4_26b_no_thinking	instructions_for_query_generation	simple_02	simple	structured_wording	1.00	1.00	1.00	6643	true	1.00	1.00	1.00	1.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	What is the average store cost by store type?	sales_cube	Avg	store_cost	[store_dim.store_type]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "average_store_cost_by_store_type",\n  "aggregateFunction": "Avg",\n  "measure": "store_cost",\n  "gamma": [\n    "store_dim.store_type"\n  ],\n  "sigma": []\n}	7690	7690	1923	1923	1961	79	2040	6632	1	2721	3891	720.49	20.30	true			2026-09-19 04:52:23
run_0018	gemma4_26b_no_thinking	instructions_for_query_generation	simple_03	simple	structured_wording	1.00	1.00	1.00	5314	true	1.00	1.00	1.00	1.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	What are the total store sales across the entire cube?	sales_cube	Sum	store_sales	[]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "total_store_sales",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": [],\n  "sigma": []\n}	7699	7699	1925	1925	1962	59	2021	5300	1	2385	2899	822.32	20.35	true			2026-09-19 04:52:30
run_0019	gemma4_26b_no_thinking	instructions_for_query_generation	simple_04	simple	natural_wording	1.00	1.00	1.00	5705	true	1.00	1.00	1.00	1.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	How much sales revenue did each product family generate?	sales_cube	Sum	store_sales	[product_dim.product_family]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "query",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": [\n    "product_dim.product_family"\n  ],\n  "sigma": []\n}	7701	7701	1926	1926	1961	69	2030	5690	1	2383	3291	822.82	20.97	true			2026-09-19 04:52:35
run_0020	gemma4_26b_no_thinking	instructions_for_query_generation	simple_05	simple	natural_wording	0.00	0.94	1.00	6693	true	1.00	0.80	1.00	1.00	1.00	false	true	70.00	100.00	true	true	true	true	true	false	true	0	0	0	0	0	2	How much sales revenue came from stores in California during 1998?	sales_cube	Sum	store_sales	[]	[store_dim.store_state='CA', date_dim.the_year='1998']	{\n  "cubeName": "sales_cube",\n  "queryName": "query",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": [],\n  "sigma": [\n    "store_dim.store_state",\n    "date_dim.the_year"\n  ]\n}	7711	7711	1928	1928	1967	80	2047	6680	1	2560	4102	768.14	19.50	true			2026-09-19 04:52:41
run_0021	gemma4_26b_no_thinking	instructions_for_query_generation	medium_01	medium	structured_wording	0.00	0.94	1.00	8467	true	1.00	0.80	1.00	1.00	1.00	false	true	70.00	100.00	true	true	true	true	true	false	true	0	0	0	0	0	2	What are the total unit sales by store state and quarter for stores in the USA during 1998?	sales_cube	Sum	unit_sales	[store_dim.store_state, date_dim.year_quarter]	[store_dim.store_country='USA', date_dim.the_year='1998']	{\n  "cubeName": "sales_cube",\n  "queryName": "total_unit_sales_by_state_and_quarter",\n  "aggregateFunction": "Sum",\n  "measure": "unit_sales",\n  "gamma": [\n    "store_dim.store_state",\n    "date_dim.year_quarter"\n  ],\n  "sigma": [\n    "store_dim.store_country",\n    "date_dim.the_year"\n  ]\n}	7736	7736	1934	1934	1974	117	2091	8455	1	2628	5812	751.14	20.13	true			2026-09-19 04:52:48
run_0022	gemma4_26b_no_thinking	instructions_for_query_generation	medium_02	medium	structured_wording	0.00	0.94	1.00	8629	true	1.00	0.80	1.00	1.00	1.00	false	true	70.00	100.00	true	true	true	true	true	false	true	0	0	0	0	0	2	What is the average store cost by product family for stores in the USA during 1997?	sales_cube	Avg	store_cost	[product_dim.product_family]	[store_dim.store_country='USA', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "average_store_cost_by_product_family_for_stores_in_usa_during_1997",\n  "aggregateFunction": "Avg",\n  "measure": "store_cost",\n  "gamma": [\n    "product_dim.product_family"\n  ],\n  "sigma": [\n    "store_dim.store_country",\n    "date_dim.the_year"\n  ]\n}	7728	7728	1932	1932	1972	119	2091	8617	1	2471	6129	797.74	19.41	true			2026-09-19 04:52:56
run_0023	gemma4_26b_no_thinking	instructions_for_query_generation	medium_03	medium	structured_wording	0.00	0.94	1.00	8640	true	1.00	0.80	1.00	1.00	1.00	false	true	70.00	100.00	true	true	true	true	true	false	true	0	0	0	0	0	1	What are the total store sales by promotion media type and product category during 1997?	sales_cube	Sum	store_sales	[promotion_dim.media_type, product_dim.product_category]	[date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "total_store_sales_by_promotion_media_type_and_product_category_during_1997",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": [\n    "promotion_dim.media_type",\n    "product_dim.product_category"\n  ],\n  "sigma": [\n    "date_dim.the_year"\n  ]\n}	7733	7733	1934	1934	1971	119	2090	8627	1	2585	6025	762.35	19.75	true			2026-09-19 04:53:05
run_0024	gemma4_26b_no_thinking	instructions_for_query_generation	medium_04	medium	natural_wording	0.00	0.94	1.00	7123	true	1.00	0.80	1.00	1.00	1.00	false	true	70.00	100.00	true	true	true	true	true	false	true	0	0	0	0	0	2	Among Golden-card customers in the USA, how many units did men and women buy?	sales_cube	Sum	unit_sales	[customer_dim.gender]	[customer_dim.member_card='Golden', customer_dim.country='USA']	{\n  "cubeName": "sales_cube",\n  "queryName": "query",\n  "aggregateFunction": "Sum",\n  "measure": "unit_sales",\n  "gamma": [\n    "customer_dim.gender"\n  ],\n  "sigma": [\n    "customer_dim.member_card",\n    "customer_dim.country"\n  ]\n}	7722	7722	1931	1931	1969	90	2059	7112	1	2448	4648	804.15	19.36	true			2026-09-19 04:53:13
run_0025	gemma4_26b_no_thinking	instructions_for_query_generation	medium_05	medium	natural_wording	0.00	0.93	1.00	7294	true	1.00	0.78	1.00	1.00	1.00	false	true	70.00	100.00	true	true	true	true	true	false	true	0	0	0	0	0	2	During 1997, how did the sales revenue from low-fat products change from month to month?	sales_cube	Sum	store_sales	[date_dim.year_and_month]	[product_dim.low_fat='1', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "query",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": [\n    "date_dim.year_and_month"\n  ],\n  "sigma": [\n    "date_dim.the_year",\n    "product_dim.low_fat"\n  ]\n}	7733	7733	1934	1934	1974	96	2070	7283	1	2621	4645	752.98	20.67	true			2026-09-19 04:53:20
run_0026	gemma4_26b_no_thinking	instructions_for_query_generation	complex_01	complex	structured_wording	0.00		0.00	9147	false						false	false	70.00	100.00	false	true	true	true	true	false	true	0	0	0	0	0	3	What are the total store sales by month and customer state during 1997 for customers in the USA who purchased products from the Milk subcategory?	sales_cube	Sum	store_sales	[date_dim.year_and_month, customer_dim.state_province]	[date_dim.the_year='1997', customer_dim.country='USA', product_dim.product_subcategory='Milk']	{\n  "cubeName": "sales_cube",\n  "queryName": "total_store_sales_by_month_and_customer_state",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": [\n    "date_dim.year_and_month",\n    "customer_dim.state_province"\n  ],\n  "sigma": [\n    "date_dim.the_year",\n    "customer_dim.country",\n    "product_dim.product_subcategory"\n  ]	7790	7790	1948	1948	1982	128	2110	9136	1	2889	6230	685.90	20.54	true			2026-09-19 04:53:28
run_0027	gemma4_26b_no_thinking	instructions_for_query_generation	complex_02	complex	structured_wording	0.00		0.00	9055	false						false	false	70.00	100.00	false	true	true	true	true	false	true	0	0	0	0	0	3	What are the total store sales by product subcategory and quarter during 1997 for Breakfast Foods sold by stores in the USA?	sales_cube	Sum	store_sales	[product_dim.product_subcategory, date_dim.year_quarter]	[date_dim.the_year='1997', product_dim.product_category='Breakfast Foods', store_dim.store_country='USA']	{\n  "cubeName": "sales_cube",\n  "queryName": "total_store_sales_by_product_subcategory_and_quarter",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": [\n    "product_dim.product_subcategory",\n    "date_dim.year_quarter"\n  ],\n  "sigma": [\n    "date_dim.the_year",\n    "product_dim.product_category",\n    "store_dim.store_country"\n  ]	7769	7769	1943	1943	1979	128	2107	9045	1	2807	6221	704.93	20.57	true			2026-09-19 04:53:37
run_0028	gemma4_26b_no_thinking	instructions_for_query_generation	complex_03	complex	structured_wording	0.00		0.00	9257	false						false	false	70.00	100.00	false	true	true	true	true	false	true	0	0	0	0	0	3	What are the total store sales by month and customer city during Q3 1997 for customers in California when the promotion media type was Daily Paper?	sales_cube	Sum	store_sales	[date_dim.year_and_month, customer_dim.city]	[date_dim.year_quarter='1997-Q3', customer_dim.state_province='CA', promotion_dim.media_type='Daily Paper']	{\n  "cubeName": "sales_cube",\n  "queryName": "total_store_sales_by_month_and_customer_city",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": [\n    "date_dim.year_and_month",\n    "customer_dim.city"\n  ],\n  "sigma": [\n    "date_dim.year_quarter",\n    "customer_dim.state_province",\n    "promotion_dim.media_type"\n  ]	7792	7792	1948	1948	1983	128	2111	9246	1	2855	6377	694.51	20.07	true			2026-09-19 04:53:46
run_0029	gemma4_26b_no_thinking	instructions_for_query_generation	complex_04	complex	natural_wording	0.00	0.90	0.00	8690	true	1.00	0.66	1.00	1.00	1.00	false	false	70.00	92.50	true	true	true	true	true	false	false	0	0	0	1	1	3	For Food purchases made by customers from Washington in the USA during 1997, how did sales revenue vary across quarters and brands?	sales_cube	Sum	store_sales	[date_dim.year_quarter, product_dim.brand_name]	[product_dim.product_family='Food', customer_dim.state_province='WA', customer_dim.country='USA', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "query",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": [\n    "date_dim.year_quarter",\n    "product_dim.brand_name"\n  ],\n  "sigma": [\n    "product_dim.product_category",\n    "customer_dim.state_province",\n    "customer_dim.country",\n    "date_dim.the_year"\n  ]\n}	7776	7776	1944	1944	1979	125	2104	8678	1	2749	5910	719.64	21.15	true			2026-09-19 04:53:55
run_0030	gemma4_26b_no_thinking	instructions_for_query_generation	complex_05	complex	natural_wording	0.00		0.00	9302	false						false	false	70.00	70.00	false	true	true	true	true	false	false	0	0	0	3	0	0	When Daily Paper promotions were used in California during Q3 1997, how did the average sales revenue differ across product categories and store types?	sales_cube	Avg	store_sales	[product_dim.product_category, store_dim.store_type]	[promotion_dim.media_type='Daily Paper', store_dim.store_state='CA', date_dim.year_quarter='1997-Q3']	{\n  "cubeName": "sales_cube",\n  "queryName": "average_sales_revenue_by_product_category_and_store_type",\n  "aggregateFunction": "Avg",\n  "measure": "store_sales",\n  "gamma": [\n    "product_dim.product_category",\n    "store_dim.store_type"\n  ],\n  "sigma": [\n    "promotion_dim.promotion_name",\n    "store_dim.store_state",\n    "date_dim.year_quarter"	7796	7796	1949	1949	1982	128	2110	9290	1	2896	6378	684.18	20.07	true			2026-09-19 04:54:04
run_0031	gemma4_26b_no_thinking	prescription_of_result	simple_01	simple	structured_wording	1.00	1.00	1.00	20790	true	1.00	1.00	1.00	1.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	What are the total store sales by product category for the year 1997?	sales_cube	Sum	store_sales	[product_dim.product_category]	[date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "total store sales by product category for 1997",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": [\n    "product_dim.product_category"\n  ],\n  "sigma": [\n    "date_dim.the_year='1997'"\n  ]\n}	5730	5730	1433	1433	1617	99	1716	20781	1	15666	4800	103.21	20.62	true			2026-09-19 04:54:13
run_0032	gemma4_26b_no_thinking	prescription_of_result	simple_02	simple	structured_wording	1.00	1.00	1.00	6335	true	1.00	1.00	1.00	1.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	What is the average store cost by store type?	sales_cube	Avg	store_cost	[store_dim.store_type]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "average store cost by store type",\n  "aggregateFunction": "Avg",\n  "measure": "store_cost",\n  "gamma": [\n    "store_dim.store_type"\n  ],\n  "sigma": []\n}	5706	5706	1427	1427	1609	74	1683	6327	1	2675	3638	601.42	20.34	true			2026-09-19 04:54:34
run_0033	gemma4_26b_no_thinking	prescription_of_result	simple_03	simple	structured_wording	1.00	1.00	1.00	5258	true	1.00	1.00	1.00	1.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	What are the total store sales across the entire cube?	sales_cube	Sum	store_sales	[]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "total store sales",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": [],\n  "sigma": []\n}	5715	5715	1429	1429	1610	57	1667	5249	1	2367	2869	680.11	19.86	true			2026-09-19 04:54:40
run_0034	gemma4_26b_no_thinking	prescription_of_result	simple_04	simple	natural_wording	1.00	1.00	1.00	6078	true	1.00	1.00	1.00	1.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	How much sales revenue did each product family generate?	sales_cube	Sum	store_sales	[product_dim.product_family]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "Total sales revenue by product family",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": [\n    "product_dim.product_family"\n  ],\n  "sigma": []\n}	5717	5717	1430	1430	1609	74	1683	6068	1	2401	3653	669.93	20.25	true			2026-09-19 04:54:46
